Variete,Temp_Air_Moy,Temp_Sol,Humidite_Sol,N,P,K,Prevision_Gelee,Indice_Succes
Marmande,20.0,21.7,55,97,74,157,1,64
Cœur de Bœuf,18.8,25.4,56,120,76,160,0,91
Cœur de Bœuf,22.7,24.5,54,101,78,165,0,58
Marmande,18.1,22.8,52,131,84,130,0,78
Marmande,18.8,21.2,72,95,99,138,1,73
Marmande,26.1,22.3,44,115,81,141,1,64
Noire de Crimée,25.7,24.3,66,105,73,152,0,70
Cœur de Bœuf,27.2,22.2,40,119,87,141,0,90
Noire de Crimée,26.5,20.9,83,108,71,138,1,73
Noire de Crimée,24.8,20.0,69,107,86,155,0,56
Marmande,18.5,26.9,62,113,83,159,0,73
Marmande,25.8,23.0,54,134,81,149,1,72
Cerise,26.5,24.6,75,109,98,145,0,74
Cerise,26.0,23.4,58,96,98,142,0,57
Noire de Crimée,23.1,26.9,69,96,95,164,0,83
Cœur de Bœuf,20.3,23.9,55,105,82,133,0,84
Marmande,26.5,23.3,57,131,67,154,1,71
Marmande,25.3,27.3,65,136,87,142,0,83
Noire de Crimée,27.8,25.5,56,103,88,157,0,77
Cerise,19.6,20.0,50,101,74,141,1,50
Cœur de Bœuf,20.3,20.6,84,118,98,153,0,93
Cerise,20.1,26.1,68,104,67,157,1,86
Cerise,25.9,26.5,48,97,87,130,1,79
Cerise,19.9,23.9,88,128,92,163,0,99
Cerise,18.7,24.0,56,98,70,132,0,74
Marmande,28.0,24.7,66,135,96,151,1,51
Marmande,18.2,23.0,76,117,84,150,0,77
Cerise,26.4,25.1,61,116,93,156,0,97
Cœur de Bœuf,21.7,20.0,47,96,81,150,1,77
Noire de Crimée,26.4,27.7,42,133,61,151,0,72
Cœur de Bœuf,23.5,25.8,77,103,75,142,0,87
Cœur de Bœuf,27.0,24.7,74,100,70,145,1,73
Cœur de Bœuf,27.3,21.8,71,121,73,153,0,84
Cerise,18.1,20.4,47,117,91,146,0,57
Marmande,18.8,22.7,83,95,81,134,1,85
Cœur de Bœuf,20.5,25.0,66,124,64,167,0,67
Cerise,24.7,24.7,71,95,95,156,0,69
Cœur de Bœuf,26.9,22.4,75,113,82,161,0,53
Cœur de Bœuf,22.6,24.5,73,98,78,155,1,57
Cerise,24.1,26.3,64,91,88,136,0,75
Marmande,19.9,19.2,70,127,82,165,0,88
Marmande,26.0,23.1,81,103,68,136,0,69
Noire de Crimée,27.7,25.8,86,120,77,156,0,67
Cerise,20.7,23.9,52,119,90,167,0,82
Noire de Crimée,22.9,24.9,54,116,96,153,0,67
Noire de Crimée,18.9,23.7,89,125,76,153,1,83
Noire de Crimée,23.6,27.9,52,135,77,158,0,68
Marmande,23.0,19.5,72,120,86,156,1,91
Cerise,19.4,23.4,70,131,80,163,0,82
Noire de Crimée,22.4,19.8,64,95,60,150,0,70
Cerise,21.3,20.4,87,132,91,130,1,56
Cerise,23.2,22.4,79,134,73,139,0,63
Marmande,23.9,20.4,62,107,73,159,0,82
Noire de Crimée,18.1,27.7,77,103,92,157,0,53
Noire de Crimée,25.6,27.5,42,109,95,159,1,92
Cerise,25.1,22.0,55,100,98,157,0,51
Cœur de Bœuf,21.7,24.8,41,126,71,158,0,89
Marmande,18.5,23.8,62,129,84,160,0,99
Marmande,25.5,26.3,73,93,74,133,1,80
Marmande,27.6,24.6,69,133,79,148,1,98
Marmande,20.4,19.0,86,95,93,139,0,95
Noire de Crimée,21.2,25.9,49,112,73,160,0,79
Noire de Crimée,19.8,25.7,40,97,89,163,1,99
Cœur de Bœuf,23.8,23.6,61,119,72,168,1,59
Marmande,19.5,27.1,86,125,73,160,0,70
Marmande,21.6,27.2,72,131,88,140,0,99
Cerise,25.0,23.7,64,100,85,165,1,72
Noire de Crimée,23.6,24.5,61,136,62,161,0,86
Marmande,21.9,28.0,55,94,84,152,0,57
Cœur de Bœuf,22.2,21.7,69,92,86,169,0,59
Cœur de Bœuf,23.6,21.9,57,104,99,168,1,74
Noire de Crimée,18.1,20.6,63,91,75,132,0,82
Cœur de Bœuf,18.8,27.1,44,91,97,157,0,66
Cœur de Bœuf,26.8,25.7,76,97,70,154,0,73
Noire de Crimée,18.8,20.0,62,135,88,157,0,98
Marmande,25.1,27.8,81,119,83,148,0,91
Marmande,27.2,25.6,66,130,88,148,0,99
Cœur de Bœuf,20.7,26.7,51,94,93,158,0,79
Cœur de Bœuf,21.7,19.4,49,119,70,148,0,50
Marmande,23.7,23.5,73,133,79,147,0,66
Noire de Crimée,26.8,25.3,72,99,79,153,0,77
Cœur de Bœuf,27.4,23.9,55,122,68,167,1,62
Cerise,25.4,25.0,68,113,82,145,1,59
Noire de Crimée,18.9,26.4,57,108,95,147,0,50
Cœur de Bœuf,24.7,22.4,66,119,86,142,1,69
Cœur de Bœuf,22.1,26.6,46,114,83,133,1,56
Cerise,22.7,20.5,75,100,99,142,1,81
Cerise,18.5,21.4,66,138,84,164,0,70
Marmande,19.9,19.4,49,124,84,133,1,75
Noire de Crimée,25.9,22.3,49,90,92,148,0,94
Noire de Crimée,22.5,22.4,50,106,90,153,0,56
Marmande,21.0,26.2,69,120,69,162,0,87
Noire de Crimée,21.8,24.9,42,95,98,162,0,94
Noire de Crimée,26.5,22.9,68,102,74,138,0,89
Noire de Crimée,25.5,24.9,53,115,60,132,0,97
Noire de Crimée,20.7,19.5,52,125,75,132,1,90
Noire de Crimée,19.2,20.6,58,94,80,159,0,94
Cerise,20.5,24.6,64,136,61,147,0,76
Noire de Crimée,27.2,24.8,49,103,62,131,0,83
Cerise,23.8,26.0,54,104,74,161,0,61
Noire de Crimée,23.3,22.6,67,101,91,138,1,61
Marmande,24.0,25.5,79,139,86,131,0,64
Cœur de Bœuf,21.7,25.2,88,135,95,149,0,69
Cerise,26.1,27.7,77,131,94,156,0,59
Noire de Crimée,23.2,20.9,46,97,98,165,0,95
Marmande,19.2,24.0,53,120,83,148,0,75
Cœur de Bœuf,19.3,24.4,69,115,67,145,0,66
Cerise,23.4,28.0,79,118,66,155,0,59
Cœur de Bœuf,27.4,20.8,51,93,63,143,1,60
Marmande,21.1,23.7,67,139,89,147,1,66
Cerise,26.7,22.1,89,117,69,157,0,60
Cœur de Bœuf,25.6,23.7,53,114,84,148,1,64
Noire de Crimée,20.5,21.1,40,129,91,159,1,53
Cerise,18.4,19.4,43,121,91,150,0,74
Cœur de Bœuf,19.0,24.2,88,125,91,150,1,85
Marmande,25.3,22.0,57,100,69,159,1,96
Marmande,20.0,20.6,75,126,68,166,1,80
Cerise,21.7,21.9,71,99,84,161,0,95
Cœur de Bœuf,23.0,19.4,67,127,84,159,0,78
Cerise,25.3,27.6,67,125,75,151,1,80
Cerise,19.1,24.2,77,139,75,153,0,58
Cœur de Bœuf,22.1,26.3,71,116,89,139,0,97
Cœur de Bœuf,22.9,22.8,47,106,97,153,0,50
Noire de Crimée,23.4,27.1,64,96,64,130,0,52
Cœur de Bœuf,26.2,23.3,86,98,66,164,0,53
Marmande,19.7,24.2,59,124,72,145,0,68
Cerise,26.1,23.4,72,98,67,134,0,90
Cerise,24.9,25.6,69,125,92,160,0,71
Marmande,23.6,24.1,76,119,69,166,0,57
Cœur de Bœuf,25.0,21.4,55,120,79,154,0,74
Marmande,22.1,20.3,64,108,91,154,0,53
Marmande,19.4,24.5,77,130,88,132,0,94
Noire de Crimée,24.7,23.4,81,112,60,167,0,63
Marmande,23.2,19.9,49,109,86,161,0,54
Cerise,24.4,22.6,44,95,79,149,0,99
Marmande,21.4,23.6,47,132,73,159,1,99
Cerise,27.1,26.4,72,113,74,131,1,78
Cerise,23.9,19.7,76,136,65,134,0,70
Cerise,18.9,22.1,40,111,61,148,0,64
Cœur de Bœuf,22.5,26.4,70,95,88,149,1,72
Noire de Crimée,25.6,24.8,46,113,98,151,0,66
Cerise,25.9,21.6,86,131,91,140,0,52
Cerise,22.9,26.6,62,111,64,147,0,82
Cœur de Bœuf,26.9,23.4,63,107,81,156,0,99
Cerise,20.7,23.5,53,105,87,160,0,76
Marmande,22.1,27.8,62,125,91,164,0,65
Marmande,27.0,27.5,48,102,88,150,0,55
Noire de Crimée,27.0,22.2,47,126,99,149,0,90
Cerise,24.9,20.3,47,113,62,138,0,59
Cœur de Bœuf,26.6,21.9,42,108,90,160,0,78
Marmande,18.9,19.3,71,139,72,138,0,66
Cœur de Bœuf,26.6,19.2,43,109,65,136,0,88
Cœur de Bœuf,21.2,22.6,88,116,80,162,0,95
Marmande,19.8,27.5,77,106,73,130,0,63
Cœur de Bœuf,20.4,26.8,41,105,84,148,0,61
Marmande,22.2,23.6,48,90,66,132,1,87
Cœur de Bœuf,20.5,24.1,85,110,81,168,0,78
Marmande,21.2,19.1,40,116,91,141,1,63
Cerise,19.3,20.9,88,90,91,159,0,57
Noire de Crimée,21.0,19.2,50,119,89,145,0,98
Marmande,23.7,25.8,68,109,76,142,0,89
Marmande,22.4,20.3,65,113,99,153,0,89
Noire de Crimée,21.5,26.8,66,135,97,146,0,66
Marmande,25.5,24.8,77,91,80,156,1,92
Marmande,26.9,21.1,68,104,85,158,0,88
Cœur de Bœuf,25.6,20.4,72,118,62,143,0,72
Noire de Crimée,21.3,24.6,67,124,97,134,0,56
Cerise,25.4,27.1,70,102,76,167,0,61
Marmande,19.5,25.5,58,108,98,135,0,65
Noire de Crimée,19.3,22.1,87,90,65,153,0,62
Cœur de Bœuf,21.5,24.3,65,134,80,169,0,96
Cerise,26.1,21.8,89,136,99,162,1,68
Noire de Crimée,20.5,28.0,68,105,72,138,0,52
Cerise,18.6,25.7,50,132,68,132,0,92
Cerise,19.3,24.5,80,92,64,152,0,57
Cerise,26.6,22.8,71,129,66,150,0,89
Marmande,24.3,24.6,60,95,97,151,0,61
Marmande,20.5,22.1,77,120,97,137,1,80
Cœur de Bœuf,23.6,19.3,73,94,90,149,0,84
Cœur de Bœuf,23.3,22.6,79,115,63,143,0,69
Noire de Crimée,24.6,27.4,61,117,72,159,0,77
Cœur de Bœuf,20.3,24.6,87,104,74,137,1,51
Cerise,26.6,19.8,66,98,99,148,0,76
Cerise,21.1,27.0,47,111,72,167,0,52
Marmande,24.9,21.4,79,126,85,165,0,97
Cerise,18.2,21.2,85,110,78,135,0,70
Noire de Crimée,21.7,21.7,70,131,60,163,0,56
Cerise,21.5,24.2,40,118,72,139,0,82
Cerise,23.4,23.9,78,115,84,160,0,94
Noire de Crimée,18.7,23.4,73,95,79,140,0,95
Cœur de Bœuf,25.9,25.5,86,100,82,164,0,82
Cœur de Bœuf,20.2,21.8,63,125,83,140,0,85
Noire de Crimée,24.8,26.0,67,109,98,169,1,66
Marmande,26.0,20.6,89,133,99,161,0,55
Cerise,23.6,26.0,43,109,89,155,1,70
Noire de Crimée,25.4,25.0,57,116,93,151,1,87
Cerise,24.6,25.1,68,95,69,130,0,83
Marmande,21.6,23.3,62,122,60,158,0,98
Cerise,26.1,25.0,76,119,71,168,0,97
Noire de Crimée,20.9,19.7,66,139,88,151,1,61
Cerise,23.7,26.7,55,123,70,161,1,61
Cœur de Bœuf,25.5,19.5,84,94,76,154,0,67
Marmande,21.8,20.3,66,105,79,169,0,97
Marmande,21.0,24.2,48,101,97,158,1,55
Marmande,22.6,25.7,44,101,65,166,0,62
Noire de Crimée,26.2,19.7,47,100,79,161,1,80
Marmande,27.3,27.3,57,110,69,159,0,74
Cœur de Bœuf,23.5,27.8,74,96,69,147,1,97
Noire de Crimée,24.6,24.5,45,123,90,132,0,73
Cœur de Bœuf,27.0,23.3,82,118,85,141,0,91
Cerise,19.0,25.7,62,95,76,149,0,60
Cerise,20.3,22.0,85,125,73,137,1,82
Cerise,25.1,23.4,65,123,64,160,0,70
Cerise,26.2,27.2,78,138,62,153,0,88
Cœur de Bœuf,26.6,27.6,63,97,79,142,1,73
Noire de Crimée,22.2,27.3,49,126,74,137,1,98
Noire de Crimée,18.9,21.4,54,99,62,143,0,93
Marmande,22.4,21.1,77,105,62,144,0,69
Cœur de Bœuf,20.3,21.7,59,91,82,150,0,96
Cerise,20.9,23.0,68,108,68,144,1,58
Cœur de Bœuf,25.7,21.8,45,96,70,155,0,80
Marmande,18.8,22.4,87,91,72,167,0,77
Marmande,26.3,24.6,48,134,67,167,0,87
Cœur de Bœuf,22.3,25.9,89,112,81,162,0,54
Cœur de Bœuf,24.0,25.6,44,120,97,139,0,86
Cœur de Bœuf,18.9,26.3,87,93,86,148,0,90
Noire de Crimée,21.4,19.3,78,105,85,140,0,83
Cerise,18.9,19.4,58,99,82,132,1,59
Cœur de Bœuf,27.6,26.1,44,138,98,152,0,81
Cœur de Bœuf,26.1,23.8,59,110,90,135,0,86
Cœur de Bœuf,22.6,24.2,50,117,88,158,0,66
Marmande,20.2,19.5,89,135,60,133,1,85
Marmande,27.3,21.3,66,101,69,132,1,85
Noire de Crimée,21.4,24.7,68,102,63,149,0,62
Cerise,19.6,26.7,46,129,90,137,1,69
Noire de Crimée,23.6,27.3,89,106,63,135,0,87
Cerise,27.4,23.5,42,107,88,134,1,68
Marmande,18.0,23.9,44,99,68,137,0,71
Marmande,20.4,26.5,52,117,74,137,0,65
Marmande,27.4,23.8,55,102,62,164,0,55
Noire de Crimée,19.7,23.7,51,123,74,148,1,60
Cœur de Bœuf,19.1,27.1,78,138,70,139,1,59
Cœur de Bœuf,23.7,26.1,66,95,65,164,0,80
Marmande,26.6,27.2,84,101,66,138,1,67
Cœur de Bœuf,22.8,21.0,72,118,63,137,0,81
Cœur de Bœuf,27.9,23.7,54,102,80,137,0,90
Noire de Crimée,24.8,26.6,60,115,60,137,1,91
Cerise,18.7,20.0,83,93,82,149,0,96
Marmande,27.9,26.2,56,104,72,136,0,73
Marmande,22.1,20.6,76,105,87,151,1,95
Noire de Crimée,20.9,26.3,88,108,88,146,0,65
Noire de Crimée,23.6,24.5,54,136,77,134,1,78
Cœur de Bœuf,21.0,20.7,59,115,82,163,1,88
Marmande,18.9,23.3,58,121,87,154,0,74
Cerise,18.0,25.1,40,95,68,144,1,89
Noire de Crimée,22.5,24.7,43,95,65,160,0,74
Cerise,26.4,22.8,42,94,75,148,0,89
Cerise,23.7,27.1,47,91,96,160,0,94
Marmande,28.0,23.7,80,91,60,141,0,68
Marmande,20.9,23.6,83,126,81,152,1,59
Noire de Crimée,20.8,19.6,44,92,82,152,0,50
Marmande,19.6,27.3,48,95,80,165,0,76
Marmande,19.6,20.6,40,120,90,140,1,71
Marmande,20.9,23.8,82,132,97,151,0,77
Cerise,25.9,26.2,69,94,87,159,0,97
Noire de Crimée,27.1,20.9,46,139,86,134,1,84
Cœur de Bœuf,27.8,23.7,61,135,98,166,0,52
Cerise,20.3,21.2,59,99,72,149,1,87
Marmande,26.8,25.8,68,116,91,139,0,75
Cerise,21.3,24.1,66,113,66,151,0,93
Marmande,19.1,26.7,64,111,92,159,0,54
Marmande,26.7,27.1,85,114,72,159,1,97
Cerise,24.4,24.8,74,92,91,151,0,98
Noire de Crimée,19.6,25.5,66,105,66,167,1,59
Marmande,22.3,23.9,50,119,71,167,0,56
Noire de Crimée,20.9,22.5,56,137,99,167,0,79
Cœur de Bœuf,25.4,24.8,70,132,74,136,0,74
Marmande,22.5,27.2,57,93,80,165,1,91
Noire de Crimée,27.9,22.8,58,132,71,143,1,83
Noire de Crimée,18.5,21.8,89,129,72,140,1,96
Cœur de Bœuf,21.6,22.5,77,105,99,136,0,70
Noire de Crimée,22.8,22.9,68,129,98,161,0,78
Noire de Crimée,23.0,19.7,54,130,61,147,1,66
Cœur de Bœuf,21.2,23.5,46,135,88,163,0,85
Marmande,25.3,23.4,76,97,88,131,1,89
Noire de Crimée,26.7,24.3,76,113,95,136,1,70
Noire de Crimée,27.4,22.3,46,105,97,160,0,83
Noire de Crimée,26.1,24.5,61,116,66,147,0,65
Cerise,26.5,26.9,51,91,89,149,1,95
Cœur de Bœuf,23.5,27.6,47,109,82,136,1,93
Cerise,26.3,24.3,57,109,87,151,0,58
Cœur de Bœuf,21.0,19.4,67,109,82,166,1,93
Marmande,22.0,27.7,57,108,95,163,1,52
Marmande,21.2,25.4,70,107,88,168,0,72
Noire de Crimée,22.7,22.0,56,102,63,169,0,62
Cœur de Bœuf,20.9,20.3,62,106,79,145,0,87
Marmande,27.6,20.3,50,122,64,143,0,83
Cœur de Bœuf,21.1,20.5,54,117,70,161,0,79
Marmande,19.0,19.4,69,94,61,167,0,88
Cerise,23.3,27.1,70,117,83,168,0,75
Marmande,18.6,23.9,45,114,92,155,0,81
Cerise,19.1,25.3,51,109,81,159,1,69
Marmande,20.2,26.5,62,110,65,168,1,95
Noire de Crimée,22.6,26.1,78,102,83,138,0,87
Cerise,22.3,26.9,79,95,88,161,0,58
Marmande,26.0,27.7,75,118,91,136,1,88
Noire de Crimée,25.4,23.0,74,131,89,141,0,65
Cerise,22.3,27.6,42,98,62,152,0,94
Noire de Crimée,21.3,25.5,81,118,84,146,0,87
Cœur de Bœuf,21.2,19.6,67,127,87,150,0,53
Cœur de Bœuf,25.7,25.1,54,90,74,141,1,61
Cerise,18.5,25.2,52,119,76,151,0,75
Marmande,18.1,27.2,58,139,61,152,1,59
Cerise,26.0,22.4,79,121,86,134,0,65
Noire de Crimée,22.8,24.3,57,112,95,147,0,50
Marmande,19.3,19.1,70,128,73,166,0,61
Cœur de Bœuf,20.4,22.0,76,99,91,166,1,71
Marmande,27.3,19.6,60,133,71,136,1,78
Cœur de Bœuf,26.6,23.7,78,110,82,132,0,68
Marmande,25.1,26.4,44,115,75,130,0,79
Marmande,22.8,20.9,56,104,61,135,0,77
Marmande,23.2,23.7,58,106,66,136,0,70
Noire de Crimée,27.8,20.8,43,124,80,156,1,67
Noire de Crimée,27.7,20.1,65,114,90,160,0,90
Cerise,20.2,23.6,63,104,82,137,0,73
Cerise,26.1,19.7,78,122,84,143,0,75
Cœur de Bœuf,20.0,24.3,77,100,94,144,0,85
Noire de Crimée,20.1,19.3,85,113,94,136,1,92
Cœur de Bœuf,24.8,20.0,58,95,66,136,1,65
Cerise,22.1,23.9,69,117,64,162,1,81
Cœur de Bœuf,27.3,24.3,65,118,91,136,0,51
Cerise,18.9,19.3,50,137,64,149,0,58
Noire de Crimée,23.1,24.2,78,110,84,136,1,67
Marmande,27.2,26.5,42,101,90,143,0,98
Noire de Crimée,27.0,25.5,61,111,79,144,1,98
Cœur de Bœuf,19.6,20.2,56,116,81,147,0,95
Cœur de Bœuf,21.7,24.3,50,110,97,139,0,94
Noire de Crimée,24.2,25.1,86,104,72,164,1,68
Noire de Crimée,19.6,19.3,78,107,98,156,0,87
Cerise,27.7,26.7,86,99,61,130,0,61
Cœur de Bœuf,27.1,27.2,66,111,81,157,0,62
Cœur de Bœuf,19.7,26.7,88,133,68,163,0,84
Noire de Crimée,19.2,26.4,82,109,61,132,0,97
Marmande,18.9,25.7,68,108,91,132,0,59
Cœur de Bœuf,27.1,24.7,51,117,67,140,0,71
Marmande,19.9,25.1,52,126,75,133,0,59
Noire de Crimée,22.2,26.3,50,139,92,159,1,99
Noire de Crimée,22.5,25.0,70,133,70,168,1,84
Cerise,24.0,21.9,50,90,91,161,1,94
Cœur de Bœuf,18.7,22.4,80,123,67,145,0,65
Marmande,20.3,27.1,82,124,91,146,0,85
Cerise,27.3,19.2,75,115,80,140,1,60
Cœur de Bœuf,27.1,25.3,41,119,84,165,0,66
Cerise,25.8,27.6,62,101,79,161,0,74
Noire de Crimée,18.2,25.4,75,103,60,164,0,50
Cœur de Bœuf,21.3,27.9,53,128,80,156,0,61
Cerise,24.3,25.2,76,93,66,163,1,52
Cerise,20.8,19.3,88,101,84,134,1,58
Marmande,27.1,26.4,66,113,68,154,1,68
Cerise,24.3,21.6,51,129,81,157,0,68
Cœur de Bœuf,18.7,23.0,68,120,61,147,0,99
Cœur de Bœuf,27.1,21.8,45,90,78,132,1,69
Marmande,27.6,21.4,83,126,65,157,0,60
Cœur de Bœuf,18.8,22.9,86,90,64,131,0,73
Noire de Crimée,23.3,22.4,62,104,69,163,1,71
Cœur de Bœuf,21.0,24.7,49,102,60,151,0,50
Cœur de Bœuf,21.9,26.3,73,118,85,151,0,93
Cerise,19.8,21.7,83,134,85,159,0,92
Cerise,23.8,20.9,51,93,77,163,1,59
Cœur de Bœuf,27.6,25.0,71,104,80,130,1,60
Marmande,23.0,25.0,65,133,71,158,1,57
Cerise,18.8,27.1,46,129,97,148,0,66
Marmande,24.2,19.1,71,137,73,148,0,55
Cœur de Bœuf,21.4,26.7,72,101,91,158,0,56
Cœur de Bœuf,26.6,23.7,57,114,98,162,0,80
Noire de Crimée,22.3,24.6,74,116,94,146,0,86
Cerise,19.9,19.8,59,95,76,167,0,53
Cœur de Bœuf,19.9,22.9,70,112,69,130,0,56
Noire de Crimée,25.7,21.0,44,104,94,162,1,65
Cerise,20.7,21.3,71,128,75,165,1,74
Cœur de Bœuf,25.7,23.5,86,94,65,151,0,85
Cœur de Bœuf,20.1,26.3,81,112,63,147,0,84
Cerise,21.2,25.7,58,104,68,146,1,63
Cerise,22.7,24.3,40,114,88,161,1,85
Cerise,27.4,23.9,46,119,66,149,0,58
Cœur de Bœuf,27.3,22.8,61,133,75,152,0,60
Cœur de Bœuf,20.1,27.8,89,132,65,157,0,50
Noire de Crimée,21.6,24.0,73,93,62,155,1,58
Marmande,19.5,21.3,49,102,73,136,1,74
Cerise,23.1,21.1,86,139,73,149,1,89
Cœur de Bœuf,22.6,24.5,81,129,68,140,1,64
Cœur de Bœuf,27.0,23.7,65,128,95,136,0,73
Cerise,27.3,19.1,71,112,82,167,0,57
Marmande,21.8,26.5,81,105,74,156,0,78
Cerise,22.9,25.3,66,124,66,138,0,56
Marmande,27.0,25.0,51,105,79,133,1,95
Cœur de Bœuf,26.1,19.6,79,137,78,167,1,67
Marmande,18.0,22.3,62,96,65,158,0,52
Noire de Crimée,21.2,27.4,53,134,98,155,0,96
Cœur de Bœuf,22.2,26.8,73,102,60,154,0,73
Noire de Crimée,20.3,21.6,56,139,66,143,0,69
Cerise,20.0,20.4,45,118,94,166,1,80
Cerise,18.4,23.0,66,128,84,157,0,75
Cerise,24.4,22.2,47,109,97,137,0,87
Marmande,20.6,25.1,72,139,82,140,0,96
Cœur de Bœuf,18.5,27.7,74,118,84,164,0,95
Cerise,20.3,22.3,86,107,97,160,1,92
Cerise,26.0,19.6,56,111,70,163,0,57
Cœur de Bœuf,26.5,27.1,65,125,93,165,0,81
Cerise,22.8,19.3,46,130,90,146,0,57
Noire de Crimée,22.2,27.6,85,137,97,150,0,54
Cœur de Bœuf,27.8,25.0,63,125,71,155,0,65
Cœur de Bœuf,20.0,27.5,64,97,68,157,0,76
Cœur de Bœuf,20.2,20.8,74,92,72,151,0,88
Noire de Crimée,20.9,19.4,65,118,79,132,1,50
Cœur de Bœuf,19.7,23.4,89,98,80,157,0,54
Noire de Crimée,21.8,23.1,44,97,81,165,0,52
Cœur de Bœuf,27.1,22.0,86,119,60,131,1,94
Marmande,24.2,27.6,77,101,99,149,1,66
Cerise,22.1,26.4,74,135,76,169,0,82
Marmande,27.3,25.0,69,117,63,165,1,68
Cerise,18.5,20.5,89,131,65,137,0,53
Noire de Crimée,20.1,25.6,64,138,78,168,0,62
Marmande,23.7,25.5,63,132,89,154,0,99
Cœur de Bœuf,24.2,22.8,69,99,82,144,0,92
Cerise,18.4,27.3,59,102,91,159,0,75
Cerise,22.0,20.5,42,91,88,163,0,90
Marmande,24.5,21.4,71,90,67,133,1,80
Noire de Crimée,25.0,19.6,47,111,80,151,0,84
Marmande,24.4,26.2,89,122,76,154,0,65
Noire de Crimée,21.2,24.6,86,105,76,138,1,73
Noire de Crimée,18.9,21.8,62,131,80,152,0,79
Cerise,22.3,20.5,85,118,74,168,0,66
Marmande,19.3,19.4,55,99,86,141,1,62
Marmande,27.5,20.5,74,128,84,143,0,87
Noire de Crimée,22.8,23.1,64,96,92,136,0,56
Marmande,21.2,21.2,54,90,61,160,1,58
Cœur de Bœuf,25.7,21.3,47,115,75,135,0,70
Cœur de Bœuf,23.0,26.9,73,134,95,152,0,79
Marmande,21.1,23.6,64,94,67,148,0,86
Marmande,26.1,25.6,88,124,75,150,1,86
Noire de Crimée,26.7,19.3,83,102,66,148,0,71
Cœur de Bœuf,24.7,22.3,58,116,64,148,0,96
Cœur de Bœuf,18.5,23.3,82,101,82,163,0,80
Cerise,23.7,20.7,89,119,67,142,0,53
Noire de Crimée,25.6,20.1,52,139,62,165,1,59
Cerise,19.4,26.8,85,121,94,154,0,79
Cœur de Bœuf,20.3,27.5,51,120,95,162,1,79
Noire de Crimée,26.8,19.7,54,94,95,150,0,90
Marmande,18.2,22.1,62,126,74,163,0,56
Noire de Crimée,25.5,27.6,79,91,89,154,0,64
Marmande,22.7,19.7,41,127,74,147,0,68
Marmande,22.5,24.8,79,96,88,140,0,59
Noire de Crimée,18.1,27.7,62,90,63,148,1,88
Marmande,26.2,27.8,44,92,93,163,1,76
Cerise,21.6,23.2,73,109,82,131,0,52
Cœur de Bœuf,23.4,20.5,49,91,94,159,0,84
Marmande,24.8,20.8,66,131,87,167,1,67
Cerise,25.0,27.0,81,132,90,144,1,73
Marmande,27.6,27.2,43,110,92,140,0,62
Cœur de Bœuf,23.3,24.5,43,134,77,153,1,93
Cerise,22.0,25.9,47,121,64,133,1,66
Cœur de Bœuf,27.5,25.7,45,137,68,148,0,66
Cœur de Bœuf,24.4,25.0,64,109,79,158,1,60
Cerise,21.0,26.4,66,132,97,143,0,66
Cerise,19.3,25.2,86,139,68,146,0,98
Cerise,26.4,23.8,89,120,77,137,0,68
Noire de Crimée,21.6,21.1,79,132,74,142,0,56
Cerise,24.6,25.7,59,122,74,152,0,68
Cerise,22.7,23.3,66,113,73,158,1,83
Cerise,20.0,21.7,46,107,94,140,0,78
Cerise,24.0,26.2,62,109,99,145,0,79
Marmande,18.6,25.3,59,121,95,152,0,91
Noire de Crimée,22.1,27.4,88,94,79,141,1,78
Cœur de Bœuf,23.5,20.5,73,91,70,167,1,87
Cerise,22.4,24.8,68,115,76,153,0,97
Marmande,25.5,21.2,83,114,84,160,0,57
Marmande,26.3,27.1,44,139,88,167,0,53
Marmande,25.7,19.9,66,111,82,165,0,77
Cœur de Bœuf,18.4,24.9,51,128,68,130,0,60
Cerise,19.9,26.1,56,111,84,155,0,67
Noire de Crimée,23.4,22.2,76,100,82,146,1,70
Noire de Crimée,27.3,27.6,73,100,61,165,1,96
Marmande,26.3,26.7,69,134,60,146,0,97
Cœur de Bœuf,26.4,21.7,75,93,97,166,0,89
Cœur de Bœuf,21.0,19.1,45,122,65,156,1,81
Cœur de Bœuf,22.3,21.7,71,107,74,154,0,66
Noire de Crimée,22.7,21.5,71,120,66,159,0,83
Marmande,19.6,27.0,48,133,61,154,0,66
Cerise,18.3,27.7,61,117,89,167,0,64
Noire de Crimée,27.5,19.6,49,131,88,161,1,69
Marmande,20.4,23.2,68,111,71,141,0,88
Marmande,20.4,23.9,50,129,93,150,0,60
Cerise,18.8,19.8,67,92,89,163,1,68
Cerise,27.3,22.4,41,96,95,130,1,81
Cerise,23.8,21.9,60,109,94,142,0,73
Cœur de Bœuf,24.7,23.8,70,132,61,150,0,55
Cerise,27.1,25.0,80,96,62,130,0,67
Marmande,21.5,25.3,56,96,71,142,1,90
Cerise,24.2,20.2,66,118,63,160,0,97
Marmande,18.4,26.3,69,115,66,152,1,62
Noire de Crimée,19.9,25.1,80,130,79,132,1,75
Cœur de Bœuf,26.3,27.0,47,92,78,140,0,57
Noire de Crimée,25.7,23.0,76,132,67,158,1,75
Noire de Crimée,21.5,27.0,44,106,62,147,0,98
Marmande,21.8,26.8,65,129,86,154,1,63
Noire de Crimée,23.3,22.9,45,109,74,163,0,90
Marmande,18.0,22.4,55,123,67,147,0,55
