Soil_Type,PH_Level,Organic_Matter,Nitrogen_N,Phosphorus_P,Potassium_K,Moisture_Content,Compaction_Index,Conductivity,Soil_Quality_Score
Clayey,5.4,7.6,26,41,118,41,5,3.7,0
Black,5.9,6.6,178,9,82,32,1,0.5,73
Sandy,4.8,3.6,86,104,152,86,4,0.5,1
Loamy,6.6,6.5,146,21,34,70,5,2.6,42
Clayey,4.8,3.5,100,94,124,10,4,0.3,3
Black,7.7,2.2,115,112,130,40,1,2.2,42
Sandy,5.4,1.2,110,24,130,28,4,4.0,0
Loamy,6.7,3.7,112,107,23,63,3,4.5,29
Clayey,8.0,7.3,33,101,171,43,1,1.3,31
Black,7.1,2.7,82,148,61,13,4,0.5,25
Sandy,6.6,2.4,130,11,45,57,5,3.2,3
Loamy,5.8,7.8,115,98,213,57,4,1.4,70
Clayey,5.8,1.2,148,70,27,58,2,0.2,41
Black,7.2,6.5,44,16,92,69,1,0.7,53
Sandy,8.5,3.2,166,44,97,53,4,4.7,0
Loamy,7.1,1.3,145,5,167,43,3,4.4,26
Clayey,6.7,7.4,26,62,87,65,2,4.2,9
Black,7.4,2.0,149,135,202,83,1,1.8,51
Sandy,6.4,4.9,102,12,104,15,2,3.6,22
Loamy,4.7,2.9,118,94,98,85,5,4.8,0
Clayey,6.7,1.5,59,79,58,85,3,2.9,0
Black,8.3,1.3,123,89,39,45,5,1.7,21
Sandy,5.2,1.8,33,9,89,44,4,4.0,0
Loamy,7.3,1.5,46,30,175,34,2,2.2,44
Clayey,5.3,6.3,20,89,136,58,5,2.9,6
Black,6.6,4.4,108,77,47,64,4,2.8,40
Sandy,4.9,3.4,196,149,117,50,3,1.2,18
Loamy,6.3,3.9,64,105,170,66,5,0.1,50
Clayey,7.5,7.5,36,70,41,31,2,5.0,2
Black,5.9,7.4,76,123,280,53,5,2.1,52
Sandy,7.2,6.0,197,51,79,38,3,1.5,33
Loamy,7.7,7.2,11,96,182,80,4,3.9,5
Clayey,8.2,3.2,77,31,133,57,5,3.0,0
Black,5.4,3.7,155,44,215,12,5,4.4,12
Sandy,6.1,5.3,157,5,64,54,1,3.9,34
Loamy,5.1,5.4,72,143,132,29,4,1.5,36
Clayey,8.5,4.4,81,22,198,82,1,3.0,16
Black,8.2,3.8,139,95,289,45,1,2.6,50
Sandy,6.7,7.9,92,51,75,69,3,4.8,0
Loamy,7.9,6.7,51,25,286,87,3,1.3,36
Clayey,6.6,4.0,165,133,134,27,2,1.5,30
Black,7.0,6.1,166,18,186,75,4,4.6,16
Sandy,4.9,2.9,116,24,134,40,4,2.3,8
Loamy,7.5,1.7,37,125,99,18,3,2.3,24
Clayey,5.0,3.5,197,126,48,29,3,4.4,0
Black,7.8,3.8,114,56,61,29,1,1.6,39
Sandy,7.6,1.1,121,72,138,56,3,3.5,0
Loamy,7.3,6.7,142,41,81,10,5,3.6,22
Clayey,4.6,3.5,24,86,174,23,4,2.3,0
Black,5.7,5.1,119,53,208,10,2,1.7,55
Sandy,5.6,1.5,82,43,123,78,1,3.8,0
Loamy,5.9,2.2,169,142,76,19,5,1.4,39
Clayey,4.9,7.2,189,141,191,82,3,4.1,1
Black,8.2,5.3,99,96,175,58,2,2.1,46
Sandy,6.7,7.7,46,145,184,23,3,0.2,17
Loamy,5.7,8.0,152,22,88,69,5,2.9,39
Clayey,6.1,3.6,178,144,77,51,2,1.1,48
Black,6.3,3.1,13,76,226,68,3,2.4,47
Sandy,6.9,7.0,190,9,104,34,5,4.1,2
Loamy,6.6,8.0,93,11,120,45,5,1.0,43
Clayey,8.2,5.4,164,147,270,44,2,1.1,40
Black,6.5,6.6,158,42,239,20,5,2.4,46
Sandy,8.5,6.5,69,30,179,19,3,2.4,5
Loamy,7.9,3.5,95,63,206,17,2,2.3,37
Clayey,5.3,5.0,80,56,106,32,1,3.5,26
Black,8.2,6.8,184,149,174,15,5,1.4,27
Sandy,5.0,5.8,191,111,299,87,3,1.4,30
Loamy,7.8,1.1,40,66,183,73,2,0.2,24
Clayey,6.0,3.4,26,63,87,82,1,2.0,31
Black,8.0,2.0,187,6,231,55,1,1.1,51
Sandy,8.0,2.6,16,29,139,47,4,3.0,0
Loamy,7.7,7.3,135,23,204,34,4,1.0,50
Clayey,7.7,1.3,92,29,235,11,2,4.5,0
Black,5.7,2.5,37,8,149,33,5,4.3,1
Sandy,4.8,3.2,19,7,97,76,3,3.8,0
Loamy,6.1,5.3,36,110,189,80,5,4.1,20
Clayey,5.2,4.7,150,142,57,70,3,4.8,10
Black,7.3,2.5,197,117,74,18,3,1.7,35
Sandy,5.9,2.1,136,31,65,54,4,4.9,0
Loamy,8.4,2.7,52,116,190,25,4,4.5,0
Clayey,7.1,4.5,78,94,149,23,5,1.9,11
Black,7.8,2.9,72,133,183,35,2,4.3,15
Sandy,5.0,7.6,79,48,89,55,3,4.5,1
Loamy,7.9,4.2,108,56,88,67,4,0.3,43
Clayey,8.2,1.4,191,69,124,83,2,4.4,0
Black,6.4,6.1,173,15,73,39,4,2.2,56
Sandy,6.9,3.3,80,72,267,65,3,4.1,6
Loamy,7.6,5.6,102,125,125,41,1,0.6,58
Clayey,5.2,3.0,152,81,116,87,4,0.9,17
Black,6.5,5.0,155,19,46,32,2,4.9,39
Sandy,6.1,6.4,141,61,91,26,5,2.1,22
Loamy,5.1,7.5,20,78,204,33,5,4.0,22
Clayey,6.0,2.8,143,68,153,56,3,3.8,27
Black,4.8,3.3,131,15,193,20,1,4.0,21
Sandy,4.6,4.2,188,125,117,50,4,3.8,0
Loamy,5.0,7.5,195,129,83,24,4,4.6,17
Clayey,8.4,7.3,197,34,132,61,1,3.0,28
Black,6.7,1.6,27,14,84,43,3,2.2,28
Sandy,8.4,1.9,76,58,235,69,3,4.6,0
Loamy,6.2,4.5,154,133,108,66,2,1.8,73
Clayey,5.7,1.7,106,62,266,42,2,3.2,28
Black,6.5,3.4,43,147,168,30,2,4.3,34
Sandy,6.3,2.0,167,136,259,33,3,4.6,15
Loamy,4.9,5.5,156,80,25,29,4,4.8,5
Clayey,7.1,7.6,146,93,256,77,5,3.3,12
Black,5.4,8.0,177,102,286,69,3,3.6,44
Sandy,7.0,3.6,53,85,257,55,1,2.5,31
Loamy,7.1,5.2,104,74,158,42,5,1.5,52
Clayey,5.1,7.0,196,16,184,40,3,0.2,42
Black,4.7,1.8,100,131,204,43,3,1.2,35
Sandy,7.6,5.8,120,83,173,31,2,4.9,2
Loamy,6.3,3.9,162,149,125,39,4,4.1,38
Clayey,4.7,2.4,80,133,168,14,4,2.4,0
Black,8.5,3.8,62,18,204,50,5,1.8,28
Sandy,4.7,1.5,185,123,290,54,3,0.4,19
Loamy,7.3,5.9,80,6,210,70,2,0.1,63
Clayey,8.4,2.8,62,8,182,22,1,3.8,0
Black,5.5,3.2,117,70,220,18,3,4.9,15
Sandy,5.1,1.8,186,94,125,87,2,1.3,18
Loamy,5.0,7.1,180,64,234,44,1,1.4,75
Clayey,5.7,4.5,28,101,239,27,1,4.7,6
Black,4.9,5.0,75,131,236,21,5,3.1,12
Sandy,7.3,5.0,171,64,48,50,4,1.0,28
Loamy,4.7,3.9,191,87,257,25,4,0.3,36
Clayey,6.5,2.3,10,78,83,22,5,2.9,0
Black,8.5,6.2,115,59,115,27,3,2.3,30
Sandy,7.8,1.9,64,30,173,85,2,2.2,2
Loamy,7.0,1.7,24,125,47,60,4,4.8,3
Clayey,5.7,6.0,136,71,195,42,5,1.4,32
Black,7.0,2.5,24,120,270,79,4,2.5,20
Sandy,6.6,3.1,130,71,213,76,4,1.1,19
Loamy,6.2,4.3,160,10,298,63,4,1.7,70
Clayey,5.0,4.1,75,118,58,15,3,3.9,2
Black,8.0,6.0,183,14,88,45,5,1.1,33
Sandy,6.3,5.4,123,42,296,64,4,3.4,31
Loamy,5.3,5.5,146,128,139,59,4,0.7,53
Clayey,6.0,6.0,155,81,105,80,5,1.0,28
Black,6.2,3.0,154,106,196,75,1,0.2,61
Sandy,7.8,3.3,81,16,113,24,3,3.2,0
Loamy,7.4,4.1,107,50,111,31,3,5.0,28
Clayey,7.6,3.2,171,53,100,58,2,3.3,14
Black,4.5,7.9,53,95,247,47,2,4.6,20
Sandy,6.2,6.7,166,128,107,17,1,2.7,36
Loamy,6.4,2.2,199,76,147,17,2,3.4,40
Clayey,4.6,1.0,25,106,209,46,4,4.6,0
Black,5.5,1.3,87,47,153,81,4,0.5,24
Sandy,7.5,2.7,61,64,155,87,2,3.0,7
Loamy,5.0,1.8,11,105,59,34,3,2.9,26
Clayey,6.6,4.7,70,90,157,63,1,0.3,44
Black,5.4,7.0,141,130,275,30,4,0.9,55
Sandy,4.5,6.2,135,15,104,68,1,2.8,25
Loamy,5.5,2.5,61,39,46,40,2,2.5,42
Clayey,8.4,3.8,50,27,249,15,5,1.8,1
Black,7.7,4.6,189,32,151,51,1,3.5,42
Sandy,8.3,6.7,40,120,110,61,1,1.9,22
Loamy,6.5,6.9,163,99,248,56,2,3.9,61
Clayey,4.9,7.4,164,62,46,37,2,4.1,12
Black,6.7,4.6,130,57,299,45,4,3.3,42
Sandy,6.3,5.9,60,32,218,49,5,1.5,31
Loamy,7.9,1.8,104,46,173,22,5,4.0,2
Clayey,4.9,5.0,185,89,62,58,1,1.3,38
Black,6.5,2.7,20,97,129,13,5,1.6,23
Sandy,5.1,4.0,145,128,130,73,2,3.1,14
Loamy,5.8,5.4,21,51,20,89,2,3.5,36
Clayey,7.4,2.8,108,119,159,32,2,1.9,40
Black,6.4,1.4,54,14,197,67,1,3.0,47
Sandy,6.0,1.1,43,27,79,24,3,1.3,11
Loamy,6.1,1.2,81,9,202,88,2,4.0,32
Clayey,6.3,1.1,184,86,240,55,5,5.0,3
Black,7.6,1.8,30,123,246,48,5,3.5,3
Sandy,8.1,2.7,50,10,163,56,2,1.7,15
Loamy,8.3,2.5,31,129,243,46,3,1.8,36
Clayey,7.6,7.9,30,51,71,50,1,0.2,26
Black,5.8,3.1,165,32,100,54,2,3.3,49
Sandy,7.3,1.9,80,17,168,39,1,3.0,20
Loamy,6.3,4.8,23,29,46,80,3,4.8,18
Clayey,5.5,7.0,88,11,251,77,2,2.1,33
Black,7.9,5.7,82,84,130,16,2,4.7,5
Sandy,4.7,3.1,61,70,98,56,2,3.8,0
Loamy,8.1,4.9,180,40,298,56,4,1.5,50
Clayey,6.3,6.0,85,6,146,88,2,0.2,37
Black,7.0,6.1,28,117,201,69,2,3.7,36
Sandy,7.1,5.7,36,42,138,14,3,2.5,7
Loamy,8.1,7.1,155,18,285,57,3,4.8,27
Clayey,7.0,7.1,22,147,197,83,4,0.2,15
Black,7.0,5.1,116,89,220,31,2,2.7,58
Sandy,4.8,4.0,138,144,89,32,5,4.0,0
Loamy,6.6,5.5,94,119,177,54,1,4.0,47
Clayey,5.1,6.7,171,101,117,88,2,3.4,19
Black,7.4,1.0,150,90,224,61,4,2.0,43
Sandy,6.5,7.9,118,106,105,80,5,0.4,23
Loamy,7.2,2.3,124,86,299,55,3,1.6,56
Clayey,4.7,4.3,60,48,104,47,1,3.3,16
Black,4.8,7.1,10,134,234,49,4,3.9,12
Sandy,7.4,2.6,130,97,152,24,3,4.1,0
Loamy,4.8,4.3,165,109,266,78,2,3.9,31
Clayey,4.8,1.9,132,129,160,21,4,1.7,7
Black,4.5,3.8,41,77,95,86,2,3.5,9
Sandy,8.3,2.2,192,76,117,76,4,4.8,0
Loamy,7.5,3.5,163,137,74,66,4,0.8,48
Clayey,5.9,3.6,151,82,278,28,2,3.7,28
Black,5.7,8.0,102,62,41,39,4,2.1,47
Sandy,5.9,8.0,77,129,54,88,3,1.2,26
Loamy,7.6,1.8,72,15,47,27,3,1.7,21
Clayey,7.1,6.1,91,31,189,72,1,0.9,37
Black,5.2,1.4,151,60,159,16,1,4.1,25
Sandy,5.2,1.2,164,130,148,69,4,2.0,16
Loamy,4.9,1.7,50,63,119,87,3,4.7,0
Clayey,7.1,7.8,12,113,266,72,2,4.8,0
Black,7.6,7.6,103,44,42,66,4,4.8,10
Sandy,5.6,2.4,68,65,132,84,2,0.9,12
Loamy,4.6,2.1,160,126,216,48,5,1.8,36
Clayey,4.8,2.7,27,110,183,52,1,1.6,23
Black,8.4,4.6,113,27,75,65,4,4.6,12
Sandy,5.7,5.0,83,40,29,19,4,0.5,12
Loamy,7.6,2.6,129,42,152,29,2,3.0,29
Clayey,7.0,6.3,85,76,171,73,1,2.5,31
Black,6.0,3.2,178,60,210,48,2,4.9,40
Sandy,5.3,7.5,17,80,296,37,2,4.8,4
Loamy,5.0,5.6,169,111,262,39,1,2.2,73
Clayey,7.0,4.1,90,66,295,67,5,2.3,26
Black,7.6,6.5,178,27,209,79,3,2.0,40
Sandy,7.1,6.7,182,124,134,71,3,4.0,3
Loamy,6.6,3.0,110,148,253,10,5,0.6,39
Clayey,4.7,3.4,18,69,100,77,1,0.7,10
Black,8.4,7.6,99,112,212,34,4,3.6,24
Sandy,7.7,2.2,57,84,277,48,1,0.2,22
Loamy,5.7,1.3,124,137,250,20,2,3.4,34
Clayey,8.4,4.2,161,68,33,68,1,0.7,38
Black,6.9,6.6,96,45,33,46,3,4.0,28
Sandy,6.8,6.4,104,102,63,85,4,3.7,1
Loamy,7.5,7.4,181,93,229,38,5,1.0,55
Clayey,7.7,4.7,195,110,59,18,1,3.8,10
Black,7.1,1.7,123,147,53,55,4,4.0,18
Sandy,5.0,5.1,27,58,254,85,4,4.6,0
Loamy,5.9,6.4,38,81,253,18,3,3.6,38
Clayey,8.2,1.7,11,46,293,74,2,4.4,0
Black,5.4,2.2,87,29,248,80,4,3.2,18
Sandy,6.0,1.1,77,71,147,51,4,3.2,7
Loamy,6.2,5.2,107,116,228,43,1,3.4,71
Clayey,6.3,7.2,126,77,99,37,5,2.1,37
Black,7.0,5.7,119,116,195,70,1,1.2,67
Sandy,8.3,7.9,176,141,252,49,3,2.1,29
Loamy,5.5,1.4,50,27,284,63,4,3.0,29
Clayey,5.0,7.3,124,19,137,68,2,3.5,28
Black,5.3,6.7,90,131,185,87,4,2.3,33
Sandy,8.0,3.2,131,18,161,54,2,1.7,26
Loamy,7.1,7.8,96,56,266,89,2,1.3,55
Clayey,5.6,3.0,31,88,196,48,2,1.0,30
Black,7.8,7.2,58,40,283,51,5,2.4,27
Sandy,7.9,7.2,165,149,187,20,1,3.6,11
Loamy,7.9,6.3,25,8,44,84,3,4.2,4
Clayey,8.2,4.9,77,135,210,47,5,1.8,18
Black,5.5,1.8,199,23,34,66,5,3.1,22
Sandy,7.5,4.7,173,62,35,21,2,2.4,24
Loamy,6.3,3.5,31,11,146,51,5,4.8,14
Clayey,7.9,6.5,148,40,286,72,3,4.4,0
Black,7.4,6.3,94,80,47,18,3,4.4,13
Sandy,7.6,7.4,130,106,282,31,4,2.9,16
Loamy,7.1,1.1,89,80,171,47,5,2.2,32
Clayey,5.2,6.7,179,72,87,82,4,3.3,10
Black,6.7,7.6,64,70,56,66,3,0.9,45
Sandy,8.4,6.5,44,51,54,76,5,4.4,0
Loamy,8.2,1.9,194,138,153,39,2,1.4,47
Clayey,4.7,1.6,43,22,180,35,2,4.2,0
Black,5.2,1.1,82,26,243,81,5,1.6,22
Sandy,5.0,5.4,86,72,129,63,4,2.7,14
Loamy,7.4,5.4,141,102,121,41,4,3.9,34
Clayey,7.8,7.9,183,13,201,31,2,2.0,40
Black,5.4,3.8,134,79,166,17,4,1.9,38
Sandy,6.5,3.3,20,21,235,75,2,4.5,1
Loamy,7.9,5.4,70,55,158,23,1,0.4,44
Clayey,7.4,6.8,131,28,207,14,2,4.2,18
Black,6.7,7.6,44,129,107,22,1,4.6,17
Sandy,6.9,6.6,78,19,266,86,5,2.9,4
Loamy,6.5,4.0,66,135,205,33,1,3.5,59
Clayey,5.7,5.4,148,56,107,44,3,4.3,15
Black,6.8,7.0,21,58,171,87,4,2.2,28
Sandy,7.3,4.4,134,62,286,77,1,4.4,15
Loamy,8.0,2.5,52,49,219,35,3,1.9,38
Clayey,7.0,2.2,156,122,265,83,3,1.6,26
Black,7.5,1.0,86,81,235,47,4,4.9,7
Sandy,5.1,6.0,77,54,93,43,2,0.3,31
Loamy,6.3,1.8,68,26,179,43,3,1.7,54
Clayey,4.5,2.7,11,56,274,28,1,2.3,12
Black,5.5,3.1,145,35,36,12,4,1.6,32
Sandy,7.4,4.9,159,75,157,45,1,1.5,47
Loamy,8.5,3.8,30,94,25,13,2,1.9,27
Clayey,4.9,5.7,166,35,238,35,4,2.1,29
Black,6.1,1.4,110,106,20,84,3,0.5,42
Sandy,7.7,1.9,95,136,83,12,1,3.9,0
Loamy,5.3,4.5,131,101,228,58,1,0.9,75
Clayey,6.7,3.4,84,71,20,18,3,0.3,17
Black,7.4,3.1,84,141,208,55,3,3.0,38
Sandy,7.0,1.5,92,87,266,75,2,3.4,5
Loamy,5.3,7.3,174,60,276,23,2,3.8,42
Clayey,5.9,5.8,87,30,193,12,3,0.5,36
Black,7.6,1.9,166,64,128,11,4,0.9,18
Sandy,6.7,1.5,174,132,79,42,3,1.0,22
Loamy,4.5,7.8,30,131,62,19,3,3.0,16
Clayey,7.5,5.8,129,76,57,62,5,4.5,3
Black,4.6,3.9,21,94,277,53,4,3.6,13
Sandy,7.5,5.9,185,62,101,47,4,1.6,28
Loamy,5.3,6.3,92,67,240,30,2,4.3,42
Clayey,8.3,6.5,184,124,130,44,2,3.4,19
Black,6.0,4.3,122,135,284,76,2,3.5,50
Sandy,5.8,4.0,24,139,155,31,1,4.8,14
Loamy,5.1,1.1,122,118,42,29,4,4.8,3
Clayey,5.7,7.5,150,6,78,77,5,2.0,18
Black,8.0,5.2,196,144,285,17,2,3.2,33
Sandy,8.5,2.4,133,52,159,60,2,1.1,24
Loamy,6.0,7.4,150,57,135,35,2,2.1,72
Clayey,6.3,7.4,124,129,223,60,2,1.4,60
Black,7.4,7.9,156,121,177,74,2,1.9,52
Sandy,8.0,7.1,194,95,215,35,1,3.4,26
Loamy,6.9,8.0,41,86,231,56,5,1.1,45
Clayey,6.1,2.7,108,72,60,52,4,1.0,36
Black,6.2,6.9,96,98,26,18,5,2.0,38
Sandy,7.3,6.8,158,76,124,44,3,0.6,33
Loamy,4.5,2.6,121,107,64,28,4,4.1,4
Clayey,7.0,1.7,151,17,57,57,2,4.8,5
Black,5.9,7.9,33,128,183,89,3,4.0,26
Sandy,7.7,3.1,58,11,100,37,3,2.7,1
Loamy,4.9,7.1,41,28,77,12,3,3.4,14
Clayey,6.9,1.0,84,137,142,27,3,4.0,0
Black,6.4,1.1,118,54,214,22,2,0.4,53
Sandy,7.1,4.3,20,30,212,36,3,2.1,26
Loamy,4.8,2.7,197,142,123,49,5,0.8,31
Clayey,6.8,5.8,77,15,131,48,2,0.5,36
Black,6.7,5.0,198,44,151,67,3,3.8,39
Sandy,6.7,1.5,99,106,115,66,3,4.3,0
Loamy,6.9,2.1,119,15,102,33,5,0.5,39
Clayey,7.2,3.7,142,116,189,31,1,1.0,48
Black,7.7,2.3,173,98,68,60,1,1.2,44
Sandy,5.6,6.5,41,8,154,85,5,4.3,0
Loamy,7.8,3.9,80,6,284,85,1,4.6,18
Clayey,6.5,1.7,83,49,218,47,4,3.8,16
Black,4.8,4.4,147,78,54,70,4,4.0,18
Sandy,4.7,1.6,108,107,223,58,4,1.8,14
Loamy,5.8,1.9,30,46,260,32,1,2.1,62
Clayey,7.6,2.7,49,33,62,13,4,1.5,0
Black,7.3,7.0,51,148,283,85,4,4.8,8
Sandy,7.7,7.5,81,104,97,46,1,3.7,10
Loamy,6.6,6.8,55,136,55,15,5,1.8,29
Clayey,6.3,3.3,91,104,193,37,2,0.8,46
Black,5.1,2.9,82,20,154,17,4,1.1,29
Sandy,5.8,4.8,127,10,159,29,1,1.1,47
Loamy,6.2,6.1,50,46,74,25,2,3.1,42
Clayey,4.9,8.0,103,132,271,22,2,4.5,5
Black,5.4,1.9,141,104,298,88,3,4.4,16
Sandy,6.9,1.3,108,80,199,71,2,0.4,20
Loamy,7.4,5.9,151,46,32,86,4,3.6,27
Clayey,8.5,6.8,151,99,223,75,5,0.9,15
Black,8.2,6.9,62,16,82,62,4,1.6,30
Sandy,7.1,5.7,137,128,93,37,3,2.8,25
Loamy,6.2,7.7,38,68,174,27,2,4.2,34
Clayey,7.0,4.6,32,33,26,16,3,1.3,17
Black,7.6,7.4,94,23,172,30,4,4.4,12
Sandy,5.0,7.8,168,101,63,50,4,3.7,11
Loamy,6.1,6.9,105,49,55,48,4,3.4,49
Clayey,7.9,3.2,80,58,116,82,5,0.8,0
Black,6.0,2.4,198,114,184,19,4,2.4,40
Sandy,6.8,4.8,160,84,253,40,4,1.4,35
Loamy,6.9,4.2,17,17,122,51,2,3.0,40
Clayey,5.2,7.1,85,144,26,86,5,3.4,0
Black,5.9,1.7,109,117,113,78,2,0.4,48
Sandy,5.8,2.8,25,75,140,68,3,3.3,11
Loamy,4.6,6.3,163,18,56,47,1,2.5,53
Clayey,4.6,1.7,166,46,40,52,2,4.2,1
Black,7.8,3.2,102,103,117,11,5,4.0,0
Sandy,5.6,3.7,15,80,40,15,2,2.1,10
Loamy,6.6,5.4,46,108,251,86,1,4.9,25
Clayey,5.7,2.1,170,125,91,38,2,3.0,24
Black,8.3,7.0,104,69,71,87,1,4.8,15
Sandy,5.5,4.1,183,149,241,39,5,3.6,14
Loamy,6.2,7.4,70,42,186,49,2,2.1,68
Clayey,8.0,4.3,178,32,224,46,5,1.2,25
Black,7.9,2.9,27,37,157,16,5,2.4,4
Sandy,5.2,2.0,120,115,55,59,3,4.7,0
Loamy,7.7,1.0,104,130,114,27,3,0.7,26
Clayey,6.3,4.7,25,132,35,17,2,2.4,27
Black,6.4,1.8,113,74,256,80,2,1.8,55
Sandy,5.0,3.7,188,89,183,64,5,4.3,0
Loamy,4.8,5.1,174,136,109,57,3,4.0,28
Clayey,7.4,2.9,23,123,127,83,2,2.8,6
Black,6.5,2.2,112,14,103,67,2,2.1,58
Sandy,6.2,6.4,77,40,274,25,2,3.5,23
Loamy,7.4,7.6,39,77,184,34,3,4.8,23
Clayey,7.6,1.7,69,136,219,38,2,0.6,22
Black,5.1,2.1,62,126,176,17,5,4.5,0
Sandy,6.9,7.7,173,140,50,64,2,1.5,38
Loamy,5.0,1.3,167,31,85,61,4,0.1,41
Clayey,7.5,7.8,73,141,108,86,1,3.7,14
Black,7.1,1.0,23,45,278,35,5,4.0,6
Sandy,8.3,7.1,32,108,272,34,2,1.6,24
Loamy,4.8,3.2,185,30,253,82,4,3.9,15
Clayey,4.7,7.6,165,136,126,35,3,4.0,8
Black,5.6,3.2,131,120,88,85,5,3.4,13
Sandy,5.5,5.6,16,133,297,56,5,0.3,17
Loamy,5.5,1.6,179,96,220,10,2,3.4,35
Clayey,8.1,2.7,19,100,72,73,3,4.7,0
Black,5.5,6.4,181,56,260,21,2,3.1,44
Sandy,5.6,4.7,111,98,194,33,4,1.9,32
Loamy,7.5,7.5,22,68,61,39,1,2.9,47
Clayey,6.3,4.0,170,25,279,23,3,5.0,12
Black,7.6,7.1,169,110,229,32,1,2.4,56
Sandy,4.8,4.1,136,84,61,11,4,4.2,0
Loamy,6.5,7.9,57,80,189,12,5,0.8,43
Clayey,4.6,7.7,14,100,278,15,4,0.4,7
Black,4.8,3.3,70,29,223,30,1,2.0,46
Sandy,8.1,7.2,131,30,182,29,3,0.8,17
Loamy,5.1,6.9,99,104,124,30,2,1.7,58
Clayey,6.6,2.5,112,85,197,49,1,3.6,28
Black,6.1,5.4,99,31,210,77,3,2.3,52
Sandy,5.9,1.5,12,67,143,34,1,1.7,29
Loamy,8.1,6.9,33,90,217,80,5,4.5,0
Clayey,4.6,2.2,126,122,118,80,5,0.1,0
Black,7.2,1.5,107,42,25,42,2,4.1,26
Sandy,8.4,3.8,171,50,286,60,5,3.1,5
Loamy,6.7,5.0,93,131,62,81,4,0.3,38
Clayey,8.2,7.0,128,75,160,88,2,0.3,27
Black,4.7,7.8,51,135,288,29,1,0.9,41
Sandy,6.2,4.1,157,138,58,28,4,4.9,0
Loamy,5.5,1.4,50,17,181,80,3,0.5,31
Clayey,7.4,6.2,91,94,214,65,1,3.7,33
Black,8.4,5.0,111,116,123,65,5,2.1,32
Sandy,5.5,4.1,157,37,264,10,1,1.3,40
Loamy,7.1,3.2,15,66,84,48,5,2.9,20
Clayey,5.3,4.5,131,67,220,46,4,1.9,40
Black,6.8,3.4,194,60,261,27,4,1.6,40
Sandy,6.4,6.3,179,43,26,81,4,1.3,28
Loamy,8.4,4.8,34,64,238,88,2,2.3,36
Clayey,6.9,7.1,50,109,22,15,5,0.9,8
Black,5.9,4.8,178,131,41,31,1,4.3,50
Sandy,5.0,2.7,12,87,113,20,1,3.0,3
Loamy,5.1,7.0,117,109,90,81,1,0.4,58
Clayey,5.4,4.9,180,78,241,18,2,2.3,37
Black,5.5,2.4,183,139,32,22,2,3.2,28
Sandy,7.9,5.4,66,126,24,12,5,4.3,0
Loamy,6.7,3.5,92,66,41,76,2,0.2,43
Clayey,6.6,6.9,83,5,56,16,4,2.3,14
Black,5.0,4.2,188,83,50,76,1,3.6,37
Sandy,7.9,6.1,142,122,81,84,4,1.1,8
Loamy,7.4,1.7,95,69,240,55,2,1.2,55
Clayey,4.8,3.8,106,70,100,67,1,2.5,29
Black,7.3,7.9,24,71,252,37,3,4.4,23
Sandy,6.7,6.7,97,104,25,40,4,2.1,22
Loamy,4.8,2.1,103,58,124,61,3,2.5,34
Clayey,6.3,2.9,135,125,181,18,5,3.2,13
Black,6.4,3.3,109,104,71,85,4,1.6,42
Sandy,5.2,5.6,48,107,177,17,1,4.3,4
Loamy,8.3,6.3,88,112,32,27,1,4.8,14
Clayey,7.9,6.2,175,16,205,58,3,3.3,22
Black,7.2,4.6,48,91,241,20,1,3.2,38
Sandy,6.3,6.7,61,90,260,11,4,3.4,13
Loamy,6.1,4.1,140,36,167,38,2,1.1,77
Clayey,7.1,1.9,166,75,74,64,2,3.7,16
Black,6.7,5.0,135,48,78,62,1,1.8,63
Sandy,4.7,7.7,168,70,217,35,5,5.0,0
Loamy,6.6,6.6,75,82,117,60,4,3.8,28
Clayey,7.7,5.1,54,59,175,87,5,3.0,0
Black,6.3,5.5,31,20,269,15,3,4.6,23
Sandy,4.7,7.5,92,92,199,21,1,4.9,0
Loamy,7.6,4.0,147,75,93,43,3,4.1,24
Clayey,5.3,3.3,158,72,80,79,5,3.8,0
Black,5.5,7.8,26,128,64,73,4,0.4,26
Sandy,5.2,7.0,76,137,154,46,5,3.6,4
Loamy,5.8,3.3,16,9,229,46,2,1.7,61
Clayey,7.5,4.2,110,129,105,17,5,4.7,0
Black,6.6,3.9,45,135,289,46,5,3.1,25
Sandy,5.3,2.0,76,140,283,55,5,1.9,14
Loamy,8.0,7.7,86,78,287,40,5,1.8,39
Clayey,8.0,3.8,167,129,244,20,4,2.8,8
Black,8.0,7.1,96,102,235,45,1,2.5,50
Sandy,5.5,2.3,166,127,250,77,4,2.0,16
Loamy,6.3,4.8,81,104,209,26,3,1.1,59
Clayey,8.4,1.2,170,57,161,25,2,4.0,0
Black,7.6,6.3,68,80,196,39,1,2.2,47
Sandy,4.6,5.1,29,132,70,48,2,0.6,16
Loamy,4.8,5.4,166,18,209,53,2,0.5,60
Clayey,6.4,1.4,190,9,24,78,1,1.3,37
Black,8.1,2.5,138,116,230,46,1,2.8,44
Sandy,6.7,1.5,171,31,214,35,3,0.8,29
Loamy,6.5,3.0,181,129,20,30,4,1.2,57
Clayey,4.9,5.4,118,33,123,28,1,2.6,22
Black,7.1,5.0,23,7,120,20,3,1.2,31
Sandy,7.8,5.3,174,141,147,28,5,4.3,0
Loamy,6.0,4.8,172,5,268,78,1,3.0,65
